Postinmr,Keskineliöhinta,1v-muutosprosentti,5v-muutosprosentti
85800,817,-14%,-24%
44150,814,-11%,-16%
58200,806,-7%,-22%
52300,801,-14%,-34%
36760,787,-34%,N/A
46800,784,9%,-15%
57210,777,-10%,-35%
38710,774,0%,-47%
34800,771,-3%,-20%
81200,767,-12%,-2%
49460,763,14%,-2%
88900,758,-5%,-10%
48900,754,-5%,-15%
56100,750,-36%,-34%
29200,746,12%,-10%
49420,745,-6%,-23%
28800,728,7%,1%
62375,725,-16%,-21%
18130,724,-11%,5%
73100,717,-9%,-28%
17800,714,-16%,-8%
78400,708,1%,-16%
76120,707,22%,-27%
19650,701,14%,-17%
72400,687,18%,-4%
32800,675,-19%,-32%
17500,671,N/A,-4%
75500,659,-5%,-21%
55700,655,3%,-20%
78870,653,-24%,-32%
35800,641,3%,-11%
74300,637,11%,-30%
52700,634,-17%,-29%
78200,631,-6%,-26%
82500,619,-11%,-37%
83500,612,-2%,-22%
55800,611,10%,-18%
72210,607,N/A,N/A
18200,604,9%,-20%
81700,598,-11%,-31%
72600,594,32%,-28%
32440,587,N/A,N/A
55610,584,5%,-20%
47710,579,N/A,N/A
76150,571,-11%,-30%
83700,553,-19%,-38%
85900,549,N/A,-50%
52200,541,N/A,-27%
76850,530,N/A,N/A
89600,528,-24%,-39%
54500,517,-37%,-34%
55510,514,15%,-20%
83100,512,-24%,-43%
58900,506,-6%,-39%
82600,468,N/A,-33%
79600,458,-31%,-33%
81720,451,-9%,N/A
97900,418,-6%,N/A
00150,8367,4%,27%
00180,8023,14%,27%
00170,7841,6%,21%
00580,7609,25%,50%
00260,7384,8%,25%
00540,7167,4%,23%
00500,6842,8%,29%
00530,6686,6%,28%
00210,6603,10%,27%
00330,6468,11%,24%
00550,6053,4%,28%
02100,5881,19%,37%
00300,5784,2%,10%
00520,5567,6%,18%
02110,5447,4%,26%
00240,5226,3%,24%
00380,5094,1%,12%
00590,5012,N/A,N/A
00990,4905,4%,13%
00310,4769,9%,29%
00360,4583,2%,33%
02200,4473,4%,20%
02680,4473,11%,33%
02160,4429,-5%,1%
00620,4377,10%,22%
01700,4268,15%,33%
01340,4145,1%,N/A
02600,4113,11%,13%
02610,4064,5%,11%
02650,4054,7%,14%
01520,4023,1%,11%
02330,4009,5%,10%
33210,3957,6%,21%
33200,3908,6%,18%
00820,3890,7%,32%
00640,3867,9%,19%
00430,3855,6%,14%
00840,3760,5%,15%
02180,3738,-1%,6%
20100,3666,5%,27%
01300,3640,9%,18%
33870,3611,10%,32%
20500,3588,1%,26%
00650,3571,-7%,6%
33540,3557,9%,26%
00390,3516,7%,12%
00370,3488,8%,2%
02740,3478,2%,8%
00950,3463,2%,8%
02920,3438,17%,15%
02300,3412,4%,1%
00720,3385,5%,10%
00680,3378,-2%,6%
00700,3362,5%,8%
02260,3342,7%,25%
20700,3322,1%,25%
02270,3295,-2%,-6%
00420,3287,-3%,2%
00980,3280,0%,8%
01400,3267,11%,14%
02340,3239,4%,3%
01370,3216,-2%,12%
01630,3196,12%,5%
33240,3185,4%,10%
90400,3168,-2%,9%
02320,3146,1%,6%
00960,3139,5%,6%
00900,3091,-1%,4%
01670,3072,2%,17%
00870,3054,5%,5%
00410,2964,8%,16%
01490,2952,-7%,6%
02970,2942,1%,6%
33400,2930,14%,27%
02760,2908,7%,10%
06100,2895,4%,4%
70110,2865,4%,7%
33530,2832,2%,15%
01660,2802,4%,-2%
70100,2761,2%,2%
20900,2742,2%,10%
20300,2718,7%,29%
01260,2705,1%,5%
90510,2684,2%,12%
40700,2668,3%,11%
90520,2665,29%,43%
01600,2644,4%,3%
13220,2628,6%,-7%
33700,2624,-7%,3%
04460,2618,18%,6%
33800,2598,10%,22%
33270,2572,-2%,5%
20200,2571,10%,23%
20720,2555,5%,25%
40200,2541,1%,0%
01730,2519,3%,32%
04420,2511,-2%,3%
04300,2490,6%,4%
00970,2472,-1%,-4%
53600,2465,13%,11%
33960,2461,1%,24%
33950,2435,4%,6%
53100,2422,8%,6%
02400,2418,3%,2%
01480,2417,13%,12%
04220,2410,-5%,-7%
00940,2398,1%,4%
25660,2391,N/A,N/A
90120,2378,-1%,7%
33820,2372,1%,9%
02880,2348,-4%,-7%
40720,2338,0%,-3%
04200,2329,6%,3%
21100,2320,5%,11%
15140,2307,-5%,-10%
53550,2282,2%,6%
20540,2273,8%,23%
15900,2262,-4%,-7%
08100,2255,1%,7%
33610,2244,0%,0%
65300,2236,18%,1%
33710,2221,2%,11%
20660,2215,-8%,1%
01650,2198,4%,-2%
02420,2186,28%,8%
20400,2177,N/A,N/A
02430,2169,-4%,-12%
70600,2160,-10%,-6%
40520,2156,-2%,1%
15100,2146,-2%,-6%
36270,2129,16%,41%
36240,2128,5%,8%
13200,2118,-5%,-16%
33340,2116,3%,26%
05820,2112,11%,16%
04260,2109,-2%,-3%
15680,2103,-4%,N/A
90420,2091,4%,14%
33480,2079,-2%,5%
04620,2065,-4%,-5%
06530,2063,N/A,-4%
21420,2060,10%,27%
05400,2055,1%,-8%
01360,2044,-1%,-10%
36100,2030,N/A,N/A
90570,2024,32%,38%
01900,2012,3%,0%
06150,1996,-2%,4%
65630,1994,24%,12%
04600,1990,18%,11%
90500,1987,12%,19%
96900,1985,4%,11%
28100,1979,3%,4%
65200,1966,8%,1%
05800,1964,-5%,-9%
06650,1960,8%,N/A
90540,1954,7%,14%
15610,1948,-2%,0%
33720,1938,5%,13%
04340,1934,-9%,-8%
33430,1933,-1%,1%
03100,1929,-4%,-1%
36200,1922,1%,0%
80200,1915,0%,-6%
70820,1914,8%,-5%
90450,1898,10%,17%
96800,1892,6%,N/A
37120,1885,6%,-1%
60100,1880,2%,-5%
70900,1875,-5%,-10%
33470,1867,1%,5%
07170,1862,6%,N/A
67700,1857,-22%,-7%
21120,1853,57%,16%
90410,1839,-1%,1%
05460,1834,4%,-3%
33330,1822,1%,0%
65280,1812,2%,-3%
67100,1805,0%,-12%
37130,1803,-3%,9%
20740,1798,-4%,3%
70800,1795,-7%,-5%
36220,1795,10%,3%
21160,1789,-16%,N/A
70340,1771,1%,-3%
37470,1762,N/A,12%
09430,1758,5%,N/A
05200,1754,0%,-12%
50130,1748,-6%,-16%
28300,1740,-3%,2%
04440,1737,-2%,-1%
33310,1729,4%,10%
90650,1725,4%,8%
93280,1717,N/A,N/A
70260,1715,-3%,-6%
80140,1696,0%,-13%
66100,1692,31%,58%
33840,1680,-1%,6%
40250,1674,-13%,-13%
37100,1666,-2%,-2%
21230,1662,N/A,11%
50600,1659,-1%,-1%
03400,1656,3%,5%
40320,1641,-3%,7%
70700,1637,-11%,-2%
65230,1621,7%,-2%
28220,1602,-1%,2%
13500,1592,0%,-7%
21270,1590,-2%,10%
26200,1578,18%,19%
60550,1573,8%,-12%
13210,1565,-5%,-13%
70420,1556,15%,4%
40740,1552,-6%,-9%
70780,1550,3%,-9%
80170,1546,5%,-6%
11710,1539,-6%,-19%
28600,1535,-6%,-10%
21220,1532,7%,26%
91900,1528,10%,7%
85100,1521,11%,5%
13250,1517,26%,27%
60220,1510,1%,-20%
70910,1507,-7%,-12%
40400,1501,0%,-19%
70500,1492,17%,-10%
15870,1488,24%,6%
11100,1481,-1%,-15%
40630,1476,-4%,-10%
65320,1471,18%,-11%
38200,1463,-6%,-10%
13720,1457,-8%,-12%
24280,1449,7%,2%
24100,1447,2%,6%
87100,1441,2%,-7%
28200,1433,13%,3%
40800,1428,-1%,13%
15810,1425,-6%,N/A
95410,1414,34%,7%
70280,1407,-5%,-1%
28660,1398,-2%,-7%
80260,1388,-9%,-9%
21600,1385,-1%,1%
71800,1379,-6%,-13%
28500,1367,19%,16%
80160,1364,2%,-12%
15520,1360,-5%,-11%
53850,1357,-4%,-13%
39100,1355,0%,2%
20610,1350,6%,14%
54915,1343,-8%,-12%
15230,1341,-35%,-15%
68630,1337,14%,-2%
99800,1331,5%,10%
90310,1325,-21%,-20%
71850,1323,-3%,-12%
08350,1319,-3%,-18%
24240,1314,-1%,12%
08200,1311,2%,5%
05860,1297,1%,3%
11120,1291,-4%,-15%
21660,1289,2%,-11%
74100,1285,-9%,-19%
28430,1277,-4%,-11%
66900,1268,8%,3%
37200,1266,46%,29%
14200,1258,-5%,-7%
90560,1256,7%,-5%
87250,1249,2%,5%
20210,1240,8%,2%
16300,1233,5%,-4%
45720,1227,13%,-10%
88600,1222,-6%,-19%
49210,1218,7%,-8%
45130,1215,3%,5%
20750,1208,0%,-8%
12540,1201,36%,N/A
10320,1189,-19%,N/A
54110,1188,-15%,-30%
15170,1187,-5%,-5%
68620,1186,-6%,-9%
48410,1186,33%,-22%
62100,1184,-6%,-13%
55100,1180,0%,-11%
90940,1179,-11%,-8%
15200,1177,-10%,-17%
91800,1171,16%,9%
91500,1169,9%,8%
28120,1164,-7%,-14%
23500,1161,-6%,4%
48800,1156,-15%,-17%
37800,1152,1%,-5%
17200,1149,-8%,-3%
15240,1148,2%,-12%
23800,1140,-1%,3%
45360,1130,-5%,-15%
45610,1123,8%,-8%
28360,1121,-13%,-24%
87300,1114,1%,-3%
74130,1112,-16%,-7%
87700,1103,-13%,-9%
27500,1103,-1%,22%
63100,1102,N/A,2%
63300,1100,6%,-5%
03600,1093,-18%,-29%
65380,1084,-15%,-18%
50120,1073,-13%,-14%
54100,1069,6%,-5%
53920,1064,-7%,-20%
35100,1062,-8%,-12%
95420,1061,-17%,-12%
57710,1059,13%,-8%
